"station_european_code","component_caption","statistics_year","statistics_average_group","statistic_shortname","statistic_value","station_european_code","country_iso_code","country_name","station_city","longitude","latitude","altitude"
"BETN063","O3",2012,"day","P50",46.065,"BETN063","BE","Belgium","CORROY LE GRAND",4.667017,50.655992,145
"BETN066","O3",2012,"day","P50",47.783,"BETN066","BE","Belgium","EUPEN",6.001019,50.629421,295
"BETN070","O3",2012,"day","P50",29.13,"BETN070","BE","Belgium","MONS",3.938467,50.465748,30
"BETN073","O3",2012,"day","P50",37.522,"BETN073","BE","Belgium","ANDENNE",4.987144,50.503277,160
"BETN085","O3",2012,"day","P50",45.935,"BETN085","BE","Belgium","VIELSALM",6.000433,50.30378,490
"BETN093","O3",2012,"day","P50",48.062,"BETN093","BE","Belgium","SOMME-LEUZE",5.233886,50.275047,265
"BETN100","O3",2012,"day","P50",55.522,"BETN100","BE","Belgium","VIROINVAL",4.593503,50.096249,225
"BETN113","O3",2012,"day","P50",54.13,"BETN113","BE","Belgium","SAINTE-ODE",5.591728,50.027603,510
"BETN121","O3",2012,"day","P50",52.652,"BETN121","BE","Belgium","BERTRIX",5.201114,49.877705,430
"BETN132","O3",2012,"day","P50",50.417,"BETN132","BE","Belgium","HABAY LA NEUVE",5.629114,49.719864,375
"BETR201","O3",2012,"day","P50",39.479,"BETR201","BE","Belgium","LIEGE",5.573936,50.6292,65
"BETR222","O3",2012,"day","P50",40.196,"BETR222","BE","Belgium","LIEGE",5.568928,50.613972,65
"BETR240","O3",2012,"day","P50",40.565,"BETR240","BE","Belgium","ENGIS",5.396155,50.584167,135
"BETM705","O3",2012,"day","P50",44.458,"BETM705","BE","Belgium","ROESELAERE",3.15117,50.945896,19
"BETN012","O3",2012,"day","P50",47.917,"BETN012","BE","Belgium","MOERKERKE",3.361292,51.2551,3
"BETN029","O3",2012,"day","P50",49.292,"BETN029","BE","Belgium","VEURNE",2.581105,51.016811,2
"BETN051","O3",2012,"day","P50",43.87,"BETN051","BE","Belgium","GERAARDSBERGEN",3.929042,50.799458,15
"BETN052","O3",2012,"day","P50",37.958,"BETN052","BE","Belgium","ZWEVEGEM",3.321258,50.815414,27
